update_rule,K,N,L,time_taken,eve_score_none,eve_score_geometric,eve_score_average
hebbian,4,4,9,43.6935085,76.736115,79.513885,78.125
anti_hebbian,4,6,17,196.51848,74.87745,81.37255,78.125
hebbian,4,4,24,539.4801563,76.5299475,79.75260525,78.14127638
hebbian,4,8,10,93.6230575,75.78125,80.625,78.203125
random_walk,4,6,6,34.4457035,76.041664,80.55556,78.298612
random_walk,4,5,10,41.7177265,80.25,76.5,78.375
anti_hebbian,4,4,22,218.122365,83.23864,73.579544,78.409092
hebbian,4,7,6,31.824976,80.059525,76.78571,78.4226175
random_walk,4,7,19,319.53254,81.109024,75.75188,78.430452
random_walk,24,4,4,134.6286389,79.16666625,77.701824,78.43424513
hebbian,4,7,14,164.20019,81.12245,75.765305,78.4438775
anti_hebbian,24,24,4,944.3345075,78.19010525,78.75976625,78.47493575
anti_hebbian,4,5,19,243.97299,77.89474,79.07895,78.486845
hebbian,4,8,4,25.8188935,78.90625,78.125,78.515625
hebbian,4,6,5,22.977852,80.416664,76.666664,78.541664
anti_hebbian,4,6,5,18.0751175,79.583336,77.5,78.541668
hebbian,4,7,4,15.481354,73.66071,83.48214,78.571425
random_walk,4,6,9,72.751066,80.78704,76.388885,78.5879625
hebbian,4,4,16,122.727228,72.46094,84.765625,78.6132825
hebbian,4,5,19,250.84414,78.1579,79.07895,78.618425
random_walk,4,5,13,124.28306,78.84615,78.46154,78.653845
random_walk,4,5,18,216.57799,83.75,73.611115,78.6805575
hebbian,4,5,23,354.403465,80.434784,76.95652,78.695652
random_walk,4,4,15,100.8940725,81.25,76.25,78.75
hebbian,4,4,4,15.5076238,79.0625,78.4375,78.75
random_walk,4,5,4,11.8704315,78.125,79.375,78.75
hebbian,4,6,22,367.85199,74.33712,83.23864,78.78788
anti_hebbian,4,7,4,15.6592245,82.14286,75.44643,78.794645
hebbian,4,5,18,181.152595,73.47222,84.166664,78.819442
random_walk,4,4,24,386.0146775,78.4505215,79.199219,78.82487025
anti_hebbian,4,6,20,269.779355,81.354164,76.354164,78.854164
hebbian,4,5,17,222.927835,76.32353,81.47059,78.89706
random_walk,4,7,16,181.457015,79.57589,78.23661,78.90625
hebbian,24,4,24,3681.810075,79.7797325,78.03276875,78.90625063
anti_hebbian,4,24,4,118.2593672,79.6875,78.1250015,78.90625075
anti_hebbian,4,6,19,303.31216,79.49561,78.399124,78.947367
hebbian,4,6,10,97.519415,79.375,78.541664,78.958332
anti_hebbian,4,4,13,61.687704,76.68269,81.25,78.966345
hebbian,4,6,21,321.26312,79.06746,78.968254,79.017857
random_walk,4,5,14,133.11718,81.07143,76.96429,79.01786
hebbian,4,7,13,111.51971,75.96154,82.14286,79.0522
hebbian,4,5,4,11.4851095,85,73.125,79.0625
random_walk,4,6,22,338.94392,75.94697,82.291664,79.119317
hebbian,4,6,8,65.862203,76.302086,82.03125,79.166668
anti_hebbian,4,7,12,112.9697375,78.72024,79.6131,79.16667
anti_hebbian,4,8,11,122.427985,82.52841,75.85227,79.19034
random_walk,4,8,8,70.9814245,79.10156,79.296875,79.1992175
anti_hebbian,4,4,4,12.271108,78.90625,79.53125,79.21875
random_walk,4,5,16,222.67058,77.03125,81.40625,79.21875
hebbian,4,7,16,207.91934,77.34375,81.13839,79.24107
hebbian,4,6,12,117.630235,84.72222,73.78472,79.25347
anti_hebbian,4,6,18,214.89972,80.55556,78.00926,79.28241
anti_hebbian,4,5,21,236.699035,80,78.57143,79.285715
random_walk,4,4,12,114.291495,72.395836,86.197914,79.296875
random_walk,4,5,11,85.51673,82.045456,76.59091,79.318183
anti_hebbian,4,6,6,32.3559575,87.5,71.18056,79.34028
random_walk,4,7,10,77.079193,81.25,77.5,79.375
random_walk,4,4,4,13.3819146,82.34375,76.5625,79.453125
random_walk,4,7,4,14.9006375,79.46429,79.46429,79.46429
hebbian,24,24,24,16331.60625,79.494,79.437932,79.465966
anti_hebbian,4,24,24,4117.186563,79.6440975,79.29145,79.46777375
hebbian,4,6,9,48.533131,82.87037,76.15741,79.51389
anti_hebbian,4,8,6,29.609577,72.65625,86.458336,79.557293
random_walk,4,8,13,152.80055,88.34135,70.79327,79.56731
random_walk,4,7,17,313.031175,78.466385,80.67227,79.5693275
random_walk,24,4,24,4247.0015,80.09440225,79.1015635,79.59798288
random_walk,4,8,9,93.985975,79.166664,80.03472,79.600692
hebbian,4,24,24,3476.985163,79.9370675,79.286025,79.61154625
anti_hebbian,4,7,21,435.622695,83.07823,76.190475,79.6343525
anti_hebbian,4,4,11,72.315025,78.693184,80.681816,79.6875
anti_hebbian,4,7,6,34.425391,76.4881,83.03571,79.761905
random_walk,24,24,24,14842.13675,79.390915,80.1468475,79.76888125
hebbian,4,5,13,154.02098,80.96154,78.65385,79.807695
random_walk,4,7,23,800.01891,80.82298,78.804344,79.813662
random_walk,4,8,6,42.516526,86.458336,73.177086,79.817711
hebbian,4,5,9,70.403853,76.94444,82.77778,79.86111
random_walk,4,6,18,223.248085,75.46296,84.25926,79.86111
hebbian,4,7,23,488.473235,79.42547,80.35714,79.891305
anti_hebbian,4,5,17,225.051675,82.20588,77.64706,79.92647
hebbian,4,4,11,47.250251,82.38636,77.556816,79.971588
anti_hebbian,4,7,7,29.9930385,81.37755,78.57143,79.97449
anti_hebbian,4,5,10,47.849595,86,74,80
anti_hebbian,4,6,15,128.159742,80.97222,79.02778,80
anti_hebbian,4,8,5,31.187177,79.375,80.625,80
hebbian,4,7,10,98.548692,78.57143,81.42857,80
hebbian,4,5,7,28.501219,77.5,82.5,80
hebbian,4,7,8,69.5016715,72.99107,87.05357,80.02232
hebbian,4,4,14,117.20759,83.03571,77.00893,80.02232
random_walk,4,24,24,3932.065538,79.7526015,80.349394,80.05099775
anti_hebbian,4,4,17,112.740015,83.45588,76.65441,80.055145
hebbian,4,5,20,238.6519,84.125,76,80.0625
random_walk,4,6,15,162.13499,84.166664,75.97222,80.069442
anti_hebbian,24,4,24,3485.589288,79.76345375,80.38737,80.07541188
random_walk,4,6,16,200.432245,81.38021,78.77604,80.078125
random_walk,4,8,11,138.29428,78.97727,81.25,80.113635
hebbian,4,4,7,29.7632375,84.375,75.89286,80.13393
random_walk,4,8,10,108.05379,80.15625,80.15625,80.15625
random_walk,4,5,23,442.46923,81.521736,78.804344,80.16304
anti_hebbian,4,7,17,276.73692,80.2521,80.14706,80.19958
anti_hebbian,4,6,7,30.6905135,86.90476,73.5119,80.20833
random_walk,4,7,12,82.7006055,79.7619,80.65476,80.20833
anti_hebbian,4,5,18,199.125555,81.25,79.166664,80.208332
anti_hebbian,4,6,10,95.92466,86.458336,73.958336,80.208336
anti_hebbian,24,24,24,26040.76146,80.51577,79.9840865,80.24992825
random_walk,4,4,23,309.89931,73.777176,86.820656,80.298916
anti_hebbian,4,4,12,52.0676005,83.854164,76.822914,80.338539
anti_hebbian,4,7,5,23.272279,81.07143,79.64286,80.357145
random_walk,4,5,17,183.405335,76.911766,83.82353,80.367648
anti_hebbian,4,8,8,71.2341575,82.8125,77.92969,80.371095
anti_hebbian,4,6,16,167.591065,82.8125,77.99479,80.403645
anti_hebbian,4,6,11,98.252013,76.893936,84.09091,80.492423
hebbian,4,5,22,225.303285,76.818184,84.204544,80.511364
hebbian,4,6,17,165.117935,84.55882,76.47059,80.514705
anti_hebbian,4,7,9,76.092855,80.75397,80.35714,80.555555
random_walk,4,5,9,44.999695,77.5,83.611115,80.5555575
hebbian,4,6,14,189.8552,79.166664,81.99405,80.580357
hebbian,4,8,14,238.3707,79.35268,81.80804,80.58036
anti_hebbian,4,4,8,31.1182185,78.515625,82.8125,80.6640625
anti_hebbian,4,4,24,434.392135,80.53385525,80.9895825,80.76171888
anti_hebbian,4,5,22,292.256595,86.36364,75.22727,80.795455
anti_hebbian,4,4,14,69.6052325,83.03571,78.57143,80.80357
anti_hebbian,4,7,14,154.332395,82.39796,79.20918,80.80357
anti_hebbian,4,4,19,136.25338,82.23684,79.44079,80.838815
anti_hebbian,4,8,4,18.9968555,77.34375,84.375,80.859375
hebbian,4,7,19,250.454815,76.2218,85.52631,80.874055
random_walk,4,6,14,138.8861,83.03571,78.72024,80.877975
hebbian,4,8,17,255.913965,83.27206,78.492645,80.8823525
hebbian,4,7,22,476.984555,84.25325,77.516235,80.8847425
anti_hebbian,4,8,15,223.209655,79.166664,82.604164,80.885414
hebbian,4,4,15,81.67348,81.666664,80.208336,80.9375
random_walk,4,8,14,235.85511,80.69196,81.36161,81.026785
random_walk,4,6,17,171.294345,76.71568,85.416664,81.066172
random_walk,4,4,9,48.418765,75.69444,86.458336,81.076388
hebbian,4,7,21,383.184265,86.309525,75.93537,81.1224475
random_walk,4,7,7,55.5646485,84.18367,78.061226,81.122448
random_walk,4,5,21,230.957635,78.809525,83.45238,81.1309525
anti_hebbian,4,6,21,380.751785,80.65476,81.64683,81.150795
hebbian,4,6,18,298.68195,78.00926,84.375,81.19213
anti_hebbian,4,7,11,77.982995,82.954544,79.545456,81.25
anti_hebbian,4,6,8,34.0551415,80.208336,82.291664,81.25
hebbian,4,4,8,23.276639,78.515625,83.984375,81.25
hebbian,4,5,5,19.6553105,77,85.5,81.25
hebbian,4,7,11,98.8074775,78.57143,84.09091,81.33117
anti_hebbian,4,7,19,330.0899,82.23684,80.54511,81.390975
random_walk,4,7,6,44.956583,81.25,81.54762,81.39881
anti_hebbian,4,4,21,175.331735,82.7381,80.059525,81.3988125
anti_hebbian,4,7,16,282.849455,82.8125,80.02232,81.41741
hebbian,4,4,13,137.47748,86.29808,76.68269,81.490385
random_walk,4,6,4,14.657215,79.166664,83.854164,81.510414
random_walk,4,7,14,281.04129,80.22959,82.908165,81.5688775
random_walk,4,6,20,291.77709,78.854164,84.375,81.614582
anti_hebbian,4,8,17,263.90189,83.180145,80.23897,81.7095575
anti_hebbian,4,5,8,27.4825185,77.1875,86.25,81.71875
anti_hebbian,4,6,13,138.87466,80.76923,82.69231,81.73077
hebbian,4,8,11,109.628385,81.107956,82.52841,81.818183
hebbian,4,4,21,224.17662,77.083336,86.60714,81.845238
anti_hebbian,4,7,13,204.873245,79.39561,84.34066,81.868135
anti_hebbian,4,5,16,217.630215,79.6875,84.0625,81.875
anti_hebbian,4,5,11,69.5562555,84.545456,79.318184,81.93182
random_walk,4,7,15,175.09961,80,83.92857,81.964285
anti_hebbian,4,8,12,139.38452,83.72396,80.33854,82.03125
random_walk,4,7,11,135.375315,80.681816,83.44156,82.061688
hebbian,4,4,17,105.4157975,80.51471,83.63971,82.07721
hebbian,4,5,21,271.90568,83.92857,80.2381,82.083335
hebbian,4,4,10,41.319401,82.5,81.875,82.1875
