update_rule,K,N,L,attack,tt,training_time,adversary_score_none,adversary_score_geometric,adversary_score_average
anti_hebbian,4,5,20,none,253.40804,239.572735,78.57143,72.875,75.723215
anti_hebbian,4,5,21,geometric,225.73743,236.699035,80,78.57143,79.285715
anti_hebbian,4,5,21,none,247.66064,287.2462,75.22727,80,77.613635
anti_hebbian,4,5,22,geometric,326.83176,292.256595,86.36364,75.22727,80.795455
anti_hebbian,4,5,22,none,257.68143,332.818165,88.152176,86.36364,87.257908
anti_hebbian,4,5,23,geometric,407.9549,358.97072,81.521736,88.152176,84.836956
anti_hebbian,4,5,23,none,309.98654,160.7350625,71.875,81.521736,76.698368
anti_hebbian,4,6,4,geometric,11.483585,11.2415765,83.333336,71.875,77.604168
anti_hebbian,4,6,4,none,10.999568,13.754812,77.5,83.333336,80.416668
anti_hebbian,4,6,5,geometric,16.510056,18.0751175,79.583336,77.5,78.541668
anti_hebbian,4,6,5,none,19.640179,28.300627,71.18056,79.583336,75.381948
anti_hebbian,4,6,6,geometric,36.961075,32.3559575,87.5,71.18056,79.34028
anti_hebbian,4,6,6,none,27.75084,30.6751635,73.5119,87.5,80.50595
anti_hebbian,4,6,7,geometric,33.599487,30.6905135,86.90476,73.5119,80.20833
anti_hebbian,4,6,7,none,27.78154,25.7205985,82.291664,86.90476,84.598212
anti_hebbian,4,6,8,geometric,23.659657,34.0551415,80.208336,82.291664,81.25
anti_hebbian,4,6,8,none,44.450626,49.478433,86.111115,80.208336,83.1597255
anti_hebbian,4,6,9,geometric,54.50624,63.316963,81.48148,86.111115,83.7962975
anti_hebbian,4,6,9,none,72.127686,96.784488,73.958336,81.48148,77.719908
anti_hebbian,4,6,10,geometric,121.44129,95.92466,86.458336,73.958336,80.208336
anti_hebbian,4,6,10,none,70.40803,81.494943,84.09091,86.458336,85.274623
anti_hebbian,4,6,11,geometric,92.581856,98.252013,76.893936,84.09091,80.492423
anti_hebbian,4,6,11,none,103.92217,86.1084925,75.520836,76.893936,76.207386
anti_hebbian,4,6,12,geometric,68.294815,103.4019325,80.55556,75.520836,78.038198
anti_hebbian,4,6,12,none,138.50905,136.8614,82.69231,80.55556,81.623935
anti_hebbian,4,6,13,geometric,135.21375,138.87466,80.76923,82.69231,81.73077
anti_hebbian,4,6,13,none,142.53557,156.020365,77.82738,80.76923,79.298305
anti_hebbian,4,6,14,geometric,169.50516,182.81276,87.05357,77.82738,82.440475
anti_hebbian,4,6,14,none,196.12036,163.69201,79.02778,87.05357,83.040675
anti_hebbian,4,6,15,geometric,131.26366,128.159742,80.97222,79.02778,80
anti_hebbian,4,6,15,none,125.055824,131.616917,77.99479,80.97222,79.483505
anti_hebbian,4,6,16,geometric,138.17801,167.591065,82.8125,77.99479,80.403645
anti_hebbian,4,6,16,none,197.00412,181.74765,81.37255,82.8125,82.092525
anti_hebbian,4,6,17,geometric,166.49118,196.51848,74.87745,81.37255,78.125
anti_hebbian,4,6,17,none,226.54578,242.83289,78.00926,74.87745,76.443355
anti_hebbian,4,6,18,geometric,259.12,214.89972,80.55556,78.00926,79.28241
anti_hebbian,4,6,18,none,170.67944,245.99464,78.399124,80.55556,79.477342
anti_hebbian,4,6,19,geometric,321.30984,303.31216,79.49561,78.399124,78.947367
anti_hebbian,4,6,19,none,285.31448,293.67358,76.354164,79.49561,77.924887
anti_hebbian,4,6,20,geometric,302.03268,269.779355,81.354164,76.354164,78.854164
anti_hebbian,4,6,20,none,237.52603,358.152265,81.64683,81.354164,81.500497
anti_hebbian,4,6,21,geometric,478.7785,380.751785,80.65476,81.64683,81.150795
anti_hebbian,4,6,21,none,282.72507,357.678165,76.60985,80.65476,78.632305
anti_hebbian,4,6,22,geometric,432.63126,3900.10933,76.041664,76.60985,76.325757
anti_hebbian,4,6,22,none,7367.5874,3855.17372,77.71739,76.041664,76.879527
anti_hebbian,4,6,23,geometric,342.76004,386.752535,74.184784,77.71739,75.951087
anti_hebbian,4,6,23,none,430.74503,223.9093385,75.44643,74.184784,74.815607
anti_hebbian,4,7,4,geometric,17.073647,15.6592245,82.14286,75.44643,78.794645
anti_hebbian,4,7,4,none,14.244802,16.3284625,79.64286,82.14286,80.89286
anti_hebbian,4,7,5,geometric,18.412123,23.272279,81.07143,79.64286,80.357145
anti_hebbian,4,7,5,none,28.132435,26.2283535,83.03571,81.07143,82.05357
anti_hebbian,4,7,6,geometric,24.324272,34.425391,76.4881,83.03571,79.761905
anti_hebbian,4,7,6,none,44.52651,36.746727,78.57143,76.4881,77.529765
anti_hebbian,4,7,7,geometric,28.966944,29.9930385,81.37755,78.57143,79.97449
anti_hebbian,4,7,7,none,31.019133,50.8556465,76.78571,81.37755,79.08163
anti_hebbian,4,7,8,geometric,70.69216,53.630385,79.01786,76.78571,77.901785
anti_hebbian,4,7,8,none,36.56861,57.3258,80.35714,79.01786,79.6875
anti_hebbian,4,7,9,geometric,78.08299,76.092855,80.75397,80.35714,80.555555
anti_hebbian,4,7,9,none,74.10272,83.6935,79.82143,80.75397,80.2877
anti_hebbian,4,7,10,geometric,93.28428,87.99271,73.57143,79.82143,76.69643
anti_hebbian,4,7,10,none,82.70114,75.565735,79.545456,73.57143,76.558443
anti_hebbian,4,7,11,geometric,68.43033,77.982995,82.954544,79.545456,81.25
anti_hebbian,4,7,11,none,87.53566,103.7124025,79.6131,82.954544,81.283822
anti_hebbian,4,7,12,geometric,119.889145,112.9697375,78.72024,79.6131,79.16667
anti_hebbian,4,7,12,none,106.05033,128.08774,84.34066,78.72024,81.53045
anti_hebbian,4,7,13,geometric,150.12515,204.873245,79.39561,84.34066,81.868135
anti_hebbian,4,7,13,none,259.62134,231.6989,79.20918,79.39561,79.302395
anti_hebbian,4,7,14,geometric,203.77646,154.332395,82.39796,79.20918,80.80357
anti_hebbian,4,7,14,none,104.88833,122.599355,82.02381,82.39796,82.210885
anti_hebbian,4,7,15,geometric,140.31038,153.75664,85.95238,82.02381,83.988095
anti_hebbian,4,7,15,none,167.2029,229.84449,80.02232,85.95238,82.98735
anti_hebbian,4,7,16,geometric,292.48608,282.849455,82.8125,80.02232,81.41741
anti_hebbian,4,7,16,none,273.21283,227.627335,80.14706,82.8125,81.47978
anti_hebbian,4,7,17,geometric,182.04184,276.73692,80.2521,80.14706,80.19958
anti_hebbian,4,7,17,none,371.432,296.96031,79.06746,80.2521,79.65978
anti_hebbian,4,7,18,geometric,222.48862,243.589295,85.81349,79.06746,82.440475
anti_hebbian,4,7,18,none,264.68997,318.402885,80.54511,85.81349,83.1793
anti_hebbian,4,7,19,geometric,372.1158,330.0899,82.23684,80.54511,81.390975
anti_hebbian,4,7,19,none,288.064,389.51111,77.67857,82.23684,79.957705
anti_hebbian,4,7,20,geometric,490.95822,438.113525,78.125,77.67857,77.901785
anti_hebbian,4,7,20,none,385.26883,409.5977,76.190475,78.125,77.1577375
anti_hebbian,4,7,21,geometric,433.92657,435.622695,83.07823,76.190475,79.6343525
anti_hebbian,4,7,21,none,437.31882,425.38346,73.376625,83.07823,78.2274275
anti_hebbian,4,7,22,geometric,413.4481,398.43505,78.49026,73.376625,75.9334425
anti_hebbian,4,7,22,none,383.422,521.3071,81.4441,78.49026,79.96718
anti_hebbian,4,7,23,geometric,659.1922,512.0349,86.490685,81.4441,83.9673925
anti_hebbian,4,7,23,none,364.8776,194.387824,84.375,86.490685,85.4328425
anti_hebbian,4,8,4,geometric,23.898048,18.9968555,77.34375,84.375,80.859375
anti_hebbian,4,8,4,none,14.095663,25.05746,80.625,77.34375,78.984375
anti_hebbian,4,8,5,geometric,36.019257,31.187177,79.375,80.625,80
anti_hebbian,4,8,5,none,26.355097,28.739419,86.458336,79.375,82.916668
anti_hebbian,4,8,6,geometric,31.123741,29.609577,72.65625,86.458336,79.557293
anti_hebbian,4,8,6,none,28.095413,34.1977005,73.66071,72.65625,73.15848
anti_hebbian,4,8,7,geometric,40.299988,44.663887,72.54464,73.66071,73.102675
anti_hebbian,4,8,7,none,49.027786,50.142738,77.92969,72.54464,75.237165
anti_hebbian,4,8,8,geometric,51.25769,71.2341575,82.8125,77.92969,80.371095
anti_hebbian,4,8,8,none,91.210625,79.9830725,75,82.8125,78.90625
anti_hebbian,4,8,9,geometric,68.75552,93.183445,80.03472,75,77.51736
anti_hebbian,4,8,9,none,117.61137,95.693325,79.84375,80.03472,79.939235
anti_hebbian,4,8,10,geometric,73.77528,80.42563,73.59375,79.84375,76.71875
anti_hebbian,4,8,10,none,87.07598,108.11507,75.85227,73.59375,74.72301
anti_hebbian,4,8,11,geometric,129.15416,122.427985,82.52841,75.85227,79.19034
anti_hebbian,4,8,11,none,115.70181,128.310975,80.33854,82.52841,81.433475
anti_hebbian,4,8,12,geometric,140.92014,139.38452,83.72396,80.33854,82.03125
anti_hebbian,4,8,12,none,137.8489,141.07256,82.33173,83.72396,83.027845
anti_hebbian,4,8,13,geometric,144.29622,119.091235,84.73558,82.33173,83.533655
anti_hebbian,4,8,13,none,93.88625,134.38199,83.92857,84.73558,84.332075
anti_hebbian,4,8,14,geometric,174.87773,147.861585,81.25,83.92857,82.589285
anti_hebbian,4,8,14,none,120.84544,159.702865,82.604164,81.25,81.927082
anti_hebbian,4,8,15,geometric,198.56029,223.209655,79.166664,82.604164,80.885414
anti_hebbian,4,8,15,none,247.85902,274.30051,73.33984,79.166664,76.253252
anti_hebbian,4,8,16,geometric,300.742,302.948315,75.390625,73.33984,74.3652325
anti_hebbian,4,8,16,none,305.15463,285.961365,80.23897,75.390625,77.8147975
anti_hebbian,4,8,17,geometric,266.7681,263.90189,83.180145,80.23897,81.7095575
anti_hebbian,4,8,17,none,261.03568,165.7797015,78.059898,83.180145,80.6200215
anti_hebbian,4,24,4,geometric,70.523723,65.4092245,79.101562,78.059898,78.58073
anti_hebbian,4,24,4,none,60.294726,1158.045488,79.82856,79.101562,79.465061
anti_hebbian,4,24,24,geometric,2255.79625,2081.067425,80.240885,79.82856,80.0347225
anti_hebbian,4,24,24,none,1906.3386,979.5678405,79.36198,80.240885,79.8014325
anti_hebbian,24,4,4,geometric,52.797081,58.96882825,79.23177,79.36198,79.296875
anti_hebbian,24,4,4,none,65.1405755,1266.043438,80.566405,79.23177,79.8990875
anti_hebbian,24,4,24,geometric,2466.9463,2182.020675,78.7000875,80.566405,79.63324625
anti_hebbian,24,4,24,none,1897.09505,1170.251775,79.5138875,78.7000875,79.1069875
anti_hebbian,24,24,4,geometric,443.4085,437.408765,78.342013,79.5138875,78.92795025
anti_hebbian,24,24,4,none,431.40903,9835.542265,80.10887,78.342013,79.2254415
anti_hebbian,24,24,24,geometric,19239.6755,16870.791,80.544705,80.10887,80.3267875
