steps,training_time
258,14.473164
5193,269.01913
173,9.903334
4907,259.339
164,8.755865
164,9.231186
5102,265.50854
119,6.277219
4625,254.9094
164,9.0326
4922,259.50525
174,9.757268
113,5.920351
130,6.294648
211,10.311262
6199,337.6757
2850,148.55473
6030,336.82407
4808,252.38239
278,14.8672085
163,7.881382
138,7.99651
126,6.584918
3912,208.13176
179,9.321198
238,12.674756
98,6.0785723
4465,248.13864
147,7.632112
168,9.230577
5245,280.36588
263,13.125214
3181,166.66095
3026,158.91716
141,7.319495
6285,329.2428
97,4.789587
159,8.704603
8267,484.67896
153,8.300967
123,6.4974537
120,6.964798
4070,209.69412
211,11.42364
4842,250.2959
169,9.06025
10817,633.1464
99,5.12411
7066,363.17783
117,6.4846096
208,10.381649
4693,240.38295
160,9.353281
130,7.48322
217,11.935617
6861,391.58685
5415,311.87158
116,6.163824
4933,275.15698
134,6.646142
3657,190.21983
185,9.974218
4945,271.6149
125,6.532696
104,5.444025
164,8.0536995
4953,276.52356
261,13.198193
130,6.9197197
7200,388.59753
5472,308.98428
2895,149.18521
4292,225.28014
4317,225.1251
4528,242.18224
184,9.382232
116,5.6561747
172,8.804967
3864,215.58273
3947,204.18817
5713,322.00336
5315,286.55438
122,6.385437
7081,411.68295
4948,269.86008
122,6.407907
95,5.023996
191,9.642495
4978,276.14008
3855,208.75989
3736,218.53377
4897,265.82413
5290,273.71204
126,6.5848064
197,10.591233
3718,188.20297
122,6.348568
174,9.718531
5468,290.5079
131,7.181057
3552,178.07448
121,6.640517
166,9.072709
4768,242.87067
202,10.543896
3819,195.33685
4193,231.95511
166,8.224883
213,11.249818
139,6.943028
4577,251.44487
177,9.700771
4763,247.22346
142,7.053007
7516,443.63867
151,8.552067
172,9.066622
4040,211.3462
189,10.325035
4966,260.6642
98,5.240944
245,12.307827
152,8.231807
4415,229.8593
4660,223.55905
239,11.8720665
95,4.681432
145,7.585093
5193,279.36322
133,6.900038
4318,213.02045
3939,210.47296
119,6.56224
3996,217.01883
196,10.272638
3611,199.37595
156,7.192856
5630,323.13162
153,7.864258
194,11.367434
3206,165.58632
156,8.452526
5972,336.80594
4171,222.10489
3801,184.09799
5365,304.42236
223,12.739769
3750,207.92363
178,9.463402
199,10.126539
4274,218.287
169,8.59244
5143,278.0665
4870,257.5013
7199,401.93484
3814,217.44925
4783,250.29527
121,6.165886
144,8.187117
145,8.210627
185,10.337491
4895,257.68216
3841,199.42007
72,4.495348
6822,295.5873
5148,285.4534
169,8.792383
147,7.497867
5029,278.53876
4190,226.57997
155,8.489637
5132,291.20697
2909,155.1432
5683,319.4797
5462,301.96295
8996,499.48874
3135,167.22108
95,4.905321
5227,283.87698
165,9.3588505
165,9.476345
155,9.3486805
3386,192.3497
93,4.923348
142,7.810679
7795,456.79944
130,6.57738
