update_rule,K,N,L,attack,training_time,adversary_score
anti_hebbian,4.0,4.0,24.0,none,209.50638,79.296875
random_walk,4.0,4.0,4.0,none,4.70331,75.78125
random_walk,4.0,4.0,24.0,none,246.80042,84.765625
anti_hebbian,4.0,4.0,24.0,none,285.38486,78.25521
random_walk,4.0,4.0,4.0,none,7.132625,76.5625
anti_hebbian,4.0,4.0,4.0,none,6.0921183,80.46875
hebbian,4.0,4.0,4.0,none,15.7287655,81.25
hebbian,4.0,4.0,4.0,none,7.816225,78.90625
random_walk,4.0,4.0,4.0,none,9.202859,74.21875
anti_hebbian,4.0,4.0,24.0,none,343.4619,80.46875
hebbian,4.0,4.0,4.0,none,11.742746,79.6875
anti_hebbian,4.0,4.0,4.0,none,9.803807,71.875
hebbian,4.0,4.0,24.0,none,318.8178,82.03125
hebbian,4.0,4.0,24.0,none,253.38655,84.50521
hebbian,4.0,4.0,24.0,none,302.10666,81.25
hebbian,4.0,4.0,4.0,none,12.913311,84.375
random_walk,4.0,4.0,24.0,none,346.6314,72.78646
random_walk,4.0,4.0,24.0,none,268.75815,76.822914
hebbian,4.0,4.0,24.0,none,336.52,80.859375
anti_hebbian,4.0,4.0,4.0,none,5.067238,78.90625
hebbian,4.0,4.0,4.0,none,5.984529,73.4375
anti_hebbian,4.0,4.0,24.0,none,180.72704,78.385414
random_walk,4.0,4.0,4.0,none,3.595937,80.46875
random_walk,4.0,4.0,24.0,none,435.74606,84.50521
random_walk,4.0,4.0,4.0,none,6.515113,78.90625
random_walk,4.0,4.0,24.0,none,154.0437,71.484375
hebbian,4.0,4.0,24.0,none,331.0334,78.125
anti_hebbian,4.0,4.0,24.0,none,276.4402,75.520836
anti_hebbian,4.0,4.0,24.0,none,242.19476,82.552086
random_walk,4.0,4.0,4.0,none,6.424437,82.8125
anti_hebbian,4.0,4.0,4.0,none,7.253467,84.375
hebbian,4.0,4.0,24.0,none,185.11029,73.177086
hebbian,4.0,4.0,4.0,none,8.054635,73.4375
hebbian,4.0,4.0,24.0,none,233.26797,83.46354
hebbian,4.0,4.0,4.0,none,12.740131,74.21875
hebbian,4.0,4.0,24.0,none,282.80667,76.43229
random_walk,4.0,4.0,24.0,none,310.71426,82.94271
hebbian,4.0,4.0,4.0,none,8.503017,82.8125
anti_hebbian,4.0,4.0,4.0,none,5.142272,75.0
random_walk,4.0,4.0,4.0,none,11.707727,76.5625
